complaint_id,customer_name,category,priority,status,assigned_agent,created_date,resolved_date,resolution_time_hours,sla_threshold_hours,description
COMP-20251102-0157,Customer_073,Service Disruption,Medium,Escalated,Grace Wilson,2025-11-02 02:56:00,,,48,Service Disruption reported by Customer_073 with Medium priority.
COMP-20250815-0158,Customer_035,Service Disruption,High,Resolved,Alice Johnson,2025-08-15 21:27:00,2025-08-16 08:51:00,11.4,24,Service Disruption reported by Customer_035 with High priority.
COMP-20250226-0159,Customer_056,Product Defects,Low,Closed,Carol White,2025-02-26 09:43:00,2025-02-27 22:43:00,37.0,72,Product Defects reported by Customer_056 with Low priority.
COMP-20250104-0160,Customer_008,Account Issues,Medium,Resolved,Emma Davis,2025-01-04 06:19:00,2025-01-05 18:25:00,36.1,48,Account Issues reported by Customer_008 with Medium priority.
COMP-20260118-0161,Customer_064,Customer Service Complaints,Low,Resolved,Alice Johnson,2026-01-18 13:11:00,2026-01-24 21:17:00,152.1,72,Customer Service Complaints reported by Customer_064 with Low priority.
COMP-20250206-0162,Customer_046,Service Disruption,Medium,Open,Grace Wilson,2025-02-06 12:55:00,,,48,Service Disruption reported by Customer_046 with Medium priority.
COMP-20251022-0163,Customer_041,Technical Problems,Low,In Progress,Grace Wilson,2025-10-22 13:36:00,,,72,Technical Problems reported by Customer_041 with Low priority.
COMP-20250329-0164,Customer_042,Account Issues,Medium,Resolved,Alice Johnson,2025-03-29 19:29:00,2025-03-31 13:47:00,42.3,48,Account Issues reported by Customer_042 with Medium priority.
COMP-20250725-0165,Customer_076,Billing Issues,Medium,Resolved,David Lee,2025-07-25 16:05:00,2025-07-26 09:35:00,17.5,48,Billing Issues reported by Customer_076 with Medium priority.
COMP-20251121-0166,Customer_066,Product Defects,Low,Escalated,Alice Johnson,2025-11-21 03:33:00,,,72,Product Defects reported by Customer_066 with Low priority.
COMP-20250501-0167,Customer_019,Customer Service Complaints,Medium,Escalated,Grace Wilson,2025-05-01 03:09:00,,,48,Customer Service Complaints reported by Customer_019 with Medium priority.
COMP-20250401-0168,Customer_010,Service Disruption,Medium,Escalated,Frank Miller,2025-04-01 20:31:00,,,48,Service Disruption reported by Customer_010 with Medium priority.
COMP-20250615-0169,Customer_080,Delivery Delays,High,Closed,Emma Davis,2025-06-15 20:20:00,2025-06-17 01:50:00,29.5,24,Delivery Delays reported by Customer_080 with High priority.
COMP-20250630-0170,Customer_008,Technical Problems,Medium,Escalated,Emma Davis,2025-06-30 16:04:00,,,48,Technical Problems reported by Customer_008 with Medium priority.
COMP-20251127-0171,Customer_010,Technical Problems,Low,Resolved,Carol White,2025-11-27 02:39:00,2025-11-28 09:21:00,30.7,72,Technical Problems reported by Customer_010 with Low priority.
COMP-20260411-0172,Customer_058,Delivery Delays,Medium,Escalated,Alice Johnson,2026-04-11 18:41:00,,,48,Delivery Delays reported by Customer_058 with Medium priority.
COMP-20250222-0173,Customer_058,Delivery Delays,Medium,Resolved,Alice Johnson,2025-02-22 10:45:00,2025-02-27 02:27:00,111.7,48,Delivery Delays reported by Customer_058 with Medium priority.
COMP-20250925-0174,Customer_068,Billing Issues,Low,Closed,David Lee,2025-09-25 19:10:00,2025-09-28 10:34:00,63.4,72,Billing Issues reported by Customer_068 with Low priority.
COMP-20260209-0175,Customer_007,Technical Problems,Medium,Resolved,Emma Davis,2026-02-09 20:41:00,2026-02-13 07:35:00,82.9,48,Technical Problems reported by Customer_007 with Medium priority.
COMP-20260324-0176,Customer_078,Delivery Delays,Medium,Resolved,Frank Miller,2026-03-24 04:21:00,2026-03-28 21:39:00,113.3,48,Delivery Delays reported by Customer_078 with Medium priority.
COMP-20250308-0177,Customer_051,Product Defects,Medium,Closed,Frank Miller,2025-03-08 19:45:00,2025-03-09 13:09:00,17.4,48,Product Defects reported by Customer_051 with Medium priority.
COMP-20250217-0178,Customer_068,Technical Problems,Medium,Resolved,Bob Smith,2025-02-17 20:42:00,2025-02-18 16:18:00,19.6,48,Technical Problems reported by Customer_068 with Medium priority.
COMP-20250409-0179,Customer_063,Product Defects,Medium,In Progress,Carol White,2025-04-09 07:08:00,,,48,Product Defects reported by Customer_063 with Medium priority.
COMP-20260304-0180,Customer_070,Product Defects,High,Resolved,Grace Wilson,2026-03-04 23:56:00,2026-03-05 15:50:00,15.9,24,Product Defects reported by Customer_070 with High priority.
COMP-20250403-0181,Customer_021,Customer Service Complaints,Medium,Closed,Bob Smith,2025-04-03 22:49:00,2025-04-05 16:25:00,41.6,48,Customer Service Complaints reported by Customer_021 with Medium priority.
COMP-20260512-0182,Customer_031,Account Issues,Medium,Closed,Frank Miller,2026-05-12 14:39:00,2026-05-17 15:45:00,121.1,48,Account Issues reported by Customer_031 with Medium priority.
COMP-20260408-0183,Customer_061,Technical Problems,Low,Resolved,Grace Wilson,2026-04-08 06:23:00,2026-04-10 00:29:00,42.1,72,Technical Problems reported by Customer_061 with Low priority.
COMP-20250928-0184,Customer_065,Technical Problems,Medium,Resolved,David Lee,2025-09-28 13:10:00,2025-09-30 02:40:00,37.5,48,Technical Problems reported by Customer_065 with Medium priority.
COMP-20251011-0185,Customer_048,Service Disruption,High,Resolved,David Lee,2025-10-11 03:45:00,2025-10-11 23:33:00,19.8,24,Service Disruption reported by Customer_048 with High priority.
COMP-20250317-0186,Customer_066,Product Defects,Low,Resolved,David Lee,2025-03-17 13:05:00,2025-03-18 09:53:00,20.8,72,Product Defects reported by Customer_066 with Low priority.
COMP-20250722-0187,Customer_007,Technical Problems,High,In Progress,David Lee,2025-07-22 16:23:00,,,24,Technical Problems reported by Customer_007 with High priority.
COMP-20260210-0188,Customer_043,Billing Issues,Medium,Resolved,Alice Johnson,2026-02-10 04:08:00,2026-02-15 20:38:00,136.5,48,Billing Issues reported by Customer_043 with Medium priority.
COMP-20250818-0189,Customer_061,Technical Problems,Medium,Resolved,Frank Miller,2025-08-18 19:00:00,2025-08-19 00:36:00,5.6,48,Technical Problems reported by Customer_061 with Medium priority.
COMP-20250928-0190,Customer_078,Service Disruption,High,Closed,Frank Miller,2025-09-28 13:07:00,2025-09-28 20:19:00,7.2,24,Service Disruption reported by Customer_078 with High priority.
COMP-20250823-0191,Customer_080,Billing Issues,Low,Closed,Grace Wilson,2025-08-23 02:07:00,2025-08-24 15:55:00,37.8,72,Billing Issues reported by Customer_080 with Low priority.
COMP-20250530-0192,Customer_019,Delivery Delays,Low,Closed,Bob Smith,2025-05-30 13:00:00,2025-05-31 10:54:00,21.9,72,Delivery Delays reported by Customer_019 with Low priority.
COMP-20250204-0193,Customer_047,Technical Problems,Low,Closed,Emma Davis,2025-02-04 16:34:00,2025-02-07 12:16:00,67.7,72,Technical Problems reported by Customer_047 with Low priority.
COMP-20250711-0194,Customer_050,Delivery Delays,Low,Open,Alice Johnson,2025-07-11 08:47:00,,,72,Delivery Delays reported by Customer_050 with Low priority.
COMP-20260131-0195,Customer_014,Customer Service Complaints,Low,Resolved,Frank Miller,2026-01-31 18:47:00,2026-02-01 10:11:00,15.4,72,Customer Service Complaints reported by Customer_014 with Low priority.
COMP-20251223-0196,Customer_060,Product Defects,Medium,Open,Bob Smith,2025-12-23 15:40:00,,,48,Product Defects reported by Customer_060 with Medium priority.
COMP-20250531-0197,Customer_005,Service Disruption,Low,Escalated,David Lee,2025-05-31 06:02:00,,,72,Service Disruption reported by Customer_005 with Low priority.
COMP-20250831-0198,Customer_070,Billing Issues,Medium,Resolved,David Lee,2025-08-31 08:02:00,2025-08-31 20:38:00,12.6,48,Billing Issues reported by Customer_070 with Medium priority.
COMP-20250520-0199,Customer_043,Product Defects,High,Resolved,Frank Miller,2025-05-20 03:51:00,2025-05-21 00:21:00,20.5,24,Product Defects reported by Customer_043 with High priority.
COMP-20250912-0200,Customer_024,Account Issues,Medium,In Progress,Carol White,2025-09-12 22:31:00,,,48,Account Issues reported by Customer_024 with Medium priority.
COMP-20250210-0201,Customer_055,Customer Service Complaints,Medium,Open,Frank Miller,2025-02-10 13:38:00,,,48,Customer Service Complaints reported by Customer_055 with Medium priority.
COMP-20251205-0202,Customer_042,Service Disruption,Medium,Resolved,Alice Johnson,2025-12-05 09:19:00,2025-12-06 19:25:00,34.1,48,Service Disruption reported by Customer_042 with Medium priority.
COMP-20251111-0203,Customer_046,Service Disruption,Medium,Resolved,Alice Johnson,2025-11-11 13:17:00,2025-11-13 02:23:00,37.1,48,Service Disruption reported by Customer_046 with Medium priority.
COMP-20260215-0204,Customer_066,Billing Issues,Low,Closed,Carol White,2026-02-15 23:43:00,2026-02-19 11:13:00,83.5,72,Billing Issues reported by Customer_066 with Low priority.
COMP-20250204-0205,Customer_017,Customer Service Complaints,Medium,Escalated,Alice Johnson,2025-02-04 07:49:00,,,48,Customer Service Complaints reported by Customer_017 with Medium priority.
COMP-20251214-0206,Customer_020,Product Defects,Medium,Closed,Emma Davis,2025-12-14 14:23:00,2025-12-16 02:17:00,35.9,48,Product Defects reported by Customer_020 with Medium priority.
COMP-20250508-0207,Customer_036,Delivery Delays,Low,Resolved,Carol White,2025-05-08 03:01:00,2025-05-09 16:43:00,37.7,72,Delivery Delays reported by Customer_036 with Low priority.
COMP-20251227-0208,Customer_034,Technical Problems,Critical,Resolved,Grace Wilson,2025-12-27 14:13:00,2025-12-27 15:37:00,1.4,4,Technical Problems reported by Customer_034 with Critical priority.
COMP-20250330-0209,Customer_058,Technical Problems,Low,Resolved,Alice Johnson,2025-03-30 22:28:00,2025-04-02 07:16:00,56.8,72,Technical Problems reported by Customer_058 with Low priority.
COMP-20251009-0210,Customer_009,Customer Service Complaints,Critical,Closed,Frank Miller,2025-10-09 17:18:00,2025-10-09 20:36:00,3.3,4,Customer Service Complaints reported by Customer_009 with Critical priority.
COMP-20250918-0211,Customer_047,Account Issues,High,Escalated,Bob Smith,2025-09-18 07:07:00,,,24,Account Issues reported by Customer_047 with High priority.
COMP-20251011-0212,Customer_047,Customer Service Complaints,Low,Escalated,Alice Johnson,2025-10-11 18:23:00,,,72,Customer Service Complaints reported by Customer_047 with Low priority.
COMP-20250723-0213,Customer_040,Delivery Delays,Low,Open,Alice Johnson,2025-07-23 22:46:00,,,72,Delivery Delays reported by Customer_040 with Low priority.
COMP-20260513-0214,Customer_017,Technical Problems,High,Open,Alice Johnson,2026-05-13 10:41:00,,,24,Technical Problems reported by Customer_017 with High priority.
COMP-20251124-0215,Customer_071,Technical Problems,Medium,Resolved,Grace Wilson,2025-11-24 18:11:00,2025-11-25 04:17:00,10.1,48,Technical Problems reported by Customer_071 with Medium priority.
COMP-20250320-0216,Customer_067,Delivery Delays,Critical,Resolved,Alice Johnson,2025-03-20 09:10:00,2025-03-20 20:40:00,11.5,4,Delivery Delays reported by Customer_067 with Critical priority.
COMP-20250509-0217,Customer_011,Service Disruption,Medium,In Progress,Carol White,2025-05-09 06:40:00,,,48,Service Disruption reported by Customer_011 with Medium priority.
COMP-20250915-0218,Customer_012,Product Defects,Low,Resolved,Emma Davis,2025-09-15 20:10:00,2025-09-17 14:52:00,42.7,72,Product Defects reported by Customer_012 with Low priority.
COMP-20260308-0219,Customer_044,Service Disruption,Medium,Escalated,Emma Davis,2026-03-08 18:02:00,,,48,Service Disruption reported by Customer_044 with Medium priority.
COMP-20250516-0220,Customer_074,Billing Issues,Low,In Progress,Grace Wilson,2025-05-16 20:13:00,,,72,Billing Issues reported by Customer_074 with Low priority.
COMP-20250529-0221,Customer_070,Technical Problems,Medium,Resolved,Frank Miller,2025-05-29 20:19:00,2025-05-31 09:55:00,37.6,48,Technical Problems reported by Customer_070 with Medium priority.
COMP-20250322-0222,Customer_008,Account Issues,Medium,Closed,Frank Miller,2025-03-22 14:26:00,2025-03-23 03:32:00,13.1,48,Account Issues reported by Customer_008 with Medium priority.
COMP-20260515-0223,Customer_045,Delivery Delays,Low,Open,Carol White,2026-05-15 12:08:00,,,72,Delivery Delays reported by Customer_045 with Low priority.
COMP-20250517-0224,Customer_016,Delivery Delays,Medium,Resolved,David Lee,2025-05-17 14:15:00,2025-05-19 23:39:00,57.4,48,Delivery Delays reported by Customer_016 with Medium priority.
COMP-20260221-0225,Customer_021,Technical Problems,High,Closed,Grace Wilson,2026-02-21 10:59:00,2026-02-21 19:47:00,8.8,24,Technical Problems reported by Customer_021 with High priority.
COMP-20260327-0226,Customer_064,Customer Service Complaints,Low,In Progress,David Lee,2026-03-27 09:31:00,,,72,Customer Service Complaints reported by Customer_064 with Low priority.
COMP-20250630-0227,Customer_075,Technical Problems,Medium,In Progress,Bob Smith,2025-06-30 01:03:00,,,48,Technical Problems reported by Customer_075 with Medium priority.
COMP-20251002-0228,Customer_037,Delivery Delays,High,Closed,David Lee,2025-10-02 00:54:00,2025-10-03 09:24:00,32.5,24,Delivery Delays reported by Customer_037 with High priority.
COMP-20250725-0229,Customer_006,Product Defects,High,Escalated,Carol White,2025-07-25 01:36:00,,,24,Product Defects reported by Customer_006 with High priority.
COMP-20260127-0230,Customer_058,Product Defects,Medium,Resolved,Emma Davis,2026-01-27 17:17:00,2026-01-28 23:29:00,30.2,48,Product Defects reported by Customer_058 with Medium priority.
COMP-20260211-0231,Customer_048,Delivery Delays,Low,In Progress,David Lee,2026-02-11 10:35:00,,,72,Delivery Delays reported by Customer_048 with Low priority.
COMP-20250121-0232,Customer_065,Customer Service Complaints,Low,Closed,David Lee,2025-01-21 01:02:00,2025-01-26 05:50:00,124.8,72,Customer Service Complaints reported by Customer_065 with Low priority.
COMP-20250617-0233,Customer_018,Technical Problems,Medium,Resolved,Emma Davis,2025-06-17 19:20:00,2025-06-23 18:26:00,143.1,48,Technical Problems reported by Customer_018 with Medium priority.
COMP-20250930-0234,Customer_066,Account Issues,High,Closed,Emma Davis,2025-09-30 15:45:00,2025-10-01 03:51:00,12.1,24,Account Issues reported by Customer_066 with High priority.
COMP-20250607-0235,Customer_075,Billing Issues,Medium,Closed,David Lee,2025-06-07 23:55:00,2025-06-08 05:49:00,5.9,48,Billing Issues reported by Customer_075 with Medium priority.
COMP-20251023-0236,Customer_075,Technical Problems,Low,Closed,Grace Wilson,2025-10-23 07:46:00,2025-10-29 08:40:00,144.9,72,Technical Problems reported by Customer_075 with Low priority.
COMP-20250317-0237,Customer_049,Delivery Delays,Medium,Closed,Grace Wilson,2025-03-17 21:15:00,2025-03-23 16:33:00,139.3,48,Delivery Delays reported by Customer_049 with Medium priority.
COMP-20250731-0238,Customer_020,Billing Issues,Low,Closed,David Lee,2025-07-31 22:13:00,2025-08-03 04:49:00,54.6,72,Billing Issues reported by Customer_020 with Low priority.
COMP-20250923-0239,Customer_018,Technical Problems,High,Escalated,Alice Johnson,2025-09-23 06:35:00,,,24,Technical Problems reported by Customer_018 with High priority.
COMP-20260413-0240,Customer_059,Account Issues,Medium,Resolved,Bob Smith,2026-04-13 17:21:00,2026-04-15 01:45:00,32.4,48,Account Issues reported by Customer_059 with Medium priority.
COMP-20251109-0241,Customer_034,Customer Service Complaints,High,Closed,Frank Miller,2025-11-09 15:12:00,2025-11-09 23:18:00,8.1,24,Customer Service Complaints reported by Customer_034 with High priority.
COMP-20251227-0242,Customer_037,Product Defects,Low,In Progress,Carol White,2025-12-27 06:44:00,,,72,Product Defects reported by Customer_037 with Low priority.
COMP-20250528-0243,Customer_036,Product Defects,Medium,Closed,Grace Wilson,2025-05-28 03:36:00,2025-05-28 23:54:00,20.3,48,Product Defects reported by Customer_036 with Medium priority.
COMP-20250529-0244,Customer_019,Technical Problems,High,In Progress,Grace Wilson,2025-05-29 01:18:00,,,24,Technical Problems reported by Customer_019 with High priority.
COMP-20250420-0245,Customer_062,Billing Issues,Medium,Closed,Carol White,2025-04-20 06:52:00,2025-04-22 01:46:00,42.9,48,Billing Issues reported by Customer_062 with Medium priority.
COMP-20250503-0246,Customer_076,Account Issues,Low,Resolved,Frank Miller,2025-05-03 07:03:00,2025-05-04 22:45:00,39.7,72,Account Issues reported by Customer_076 with Low priority.
COMP-20250221-0247,Customer_061,Account Issues,Low,Resolved,Carol White,2025-02-21 21:49:00,2025-03-02 16:55:00,211.1,72,Account Issues reported by Customer_061 with Low priority.
COMP-20251130-0248,Customer_062,Service Disruption,Medium,In Progress,David Lee,2025-11-30 06:48:00,,,48,Service Disruption reported by Customer_062 with Medium priority.
COMP-20251130-0249,Customer_012,Product Defects,Low,Resolved,Grace Wilson,2025-11-30 18:14:00,2025-12-02 21:44:00,51.5,72,Product Defects reported by Customer_012 with Low priority.
COMP-20260424-0250,Customer_023,Billing Issues,Critical,Resolved,Grace Wilson,2026-04-24 01:53:00,2026-04-24 03:59:00,2.1,4,Billing Issues reported by Customer_023 with Critical priority.
